active_motors,motor,arms_ma,head_ma,total_ma
1,head_motor_1,0.0,0.0,0.0
2,head_motor_2,0.0,0.0,0.0
3,left_shoulder_pan,0.0,0.0,0.0
4,left_shoulder_lift,0.0,0.0,0.0
5,left_elbow_flex,0.0,0.0,0.0
6,left_wrist_flex,0.0,0.0,0.0
7,left_wrist_roll,0.0,0.0,0.0
8,left_gripper,0.0,0.0,0.0
9,right_shoulder_pan,0.0,0.0,0.0
10,right_shoulder_lift,0.0,0.0,0.0
11,right_elbow_flex,0.0,0.0,0.0
12,right_wrist_flex,0.0,0.0,0.0
13,right_wrist_roll,0.0,0.0,0.0
14,right_gripper,0.0,0.0,0.0
15,base_left_wheel,0.0,0.0,0.0
16,base_back_wheel,0.0,0.0,0.0
17,base_right_wheel,0.0,0.0,0.0
